130,379265.5952,2066774.4630
131,379262.2142,2066776.3986
132,379258.9243,2066774.9690
133,379254.7633,2066777.1450
134,379249.7754,2066780.1076
135,379247.9108,2066779.6862
136,379235.0671,2066758.8715
137,379240.1755,2066754.9745
138,379245.6665,2066768.0653
139,379248.0528,2066777.2428
BW40,379255.2105,2066773.1431
140,379247.9953,2066777.1702
141,379248.5228,2066775.2611
142,379258.2011,2066769.8335
143,379262.3734,2066767.4046
TR42,379259.1232,2066773.8192
TR43,379260.6535,2066784.4464
TR44,379262.4099,2066783.6114
TR45,379263.3187,2066783.2023
TR46,379267.4723,2066780.5488
TR47,379271.2941,2066823.0917
TR48,379293.1475,2066811.9649
TR49,379312.7073,2066800.8766
TR50,379315.0362,2066799.8340
TR51,379324.3258,2066790.0772
TR52,379324.0858,2066784.8415
TR53,379324.2363,2066776.5711
144,379330.6866,2066786.0551
145,379325.4518,2066788.4280
146,379327.1385,2066792.4093
147,379335.2260,2066780.1688
148,379332.3451,2066781.2353
149,379333.7748,2066784.5223
TR56,379335.0626,2066779.4905
TR57,379337.8757,2066783.3386
TR58,379339.1015,2066782.0123
TR59,379339.5576,2066781.4420
TR60,379342.8303,2066781.8134
B5,379353.9989,2066765.1614
TR66,379345.7574,2066765.4620
TR65,379347.8824,2066768.0753
150,379348.2484,2066768.0612
151,379345.4833,2066769.3797
152,379337.4684,2066773.2146
153,379333.3640,2066775.2044
154,379336.9291,2066782.4410
155,379341.0035,2066780.4960
156,379332.5034,2066775.6118
157,379330.9386,2066776.3340
158,379332.3149,2066779.2010
159,379332.0078,2066774.6973
TR69,379333.4381,2066776.1013
160,379330.5329,2066776.3577
161,379324.7036,2066776.5349
162,379329.2095,2066849.7991
TR71,379324.4503,2066846.8621
TR72,379324.7562,2066849.7607
TR73,379329.0058,2066858.0718
TR74,379329.6610,2066858.4597
TR75,379330.3526,2066859.8410
TR76,379331.2048,2066860.4999
163,379331.0298,2066849.0994
164,379329.2623,2066845.7529
165,379331.0952,2066844.6647
166,379331.6652,2066844.4176
167,379336.1582,2066853.3259
168,379339.1311,2066831.9219
169,379341.0126,2066836.3382
170,379345.0615,2066834.5768
171,379347.1120,2066836.1410
172,379343.4829,2066827.7504
173,379341.3095,2066827.9272
174,379338.5739,2066829.2583
175,379339.3169,2066830.6855
TR81,379338.7840,2066829.6686
TR82,379339.8934,2066830.6417
TR83,379341.0695,2066830.0829
TR84,379342.0955,2066828.3777
TR85,379343.4474,2066825.6635
TR86,379344.8263,2066826.1390
TR87,379349.8607,2066823.3210
TR88,379354.2910,2066821.5527
TR89,379364.8012,2066815.3209
B5,379353.9989,2066765.1614
176,379186.2718,2066588.9676
177,379350.3892,2066770.0618
178,379351.0450,2066771.4548
179,379348.9910,2066776.6150
180,379370.7087,2066815.0089
TR61,379350.0377,2066769.4136
TR62,379349.6224,2066769.6633
TR63,379349.4012,2066769.4680
TR64,379350.8825,2066768.5454
B6,379392.2887,2066829.5465
TR92,379374.6642,2066746.1578
B7,379365.3913,2066761.1780
B7,379365.3913,2066761.1780
TR93,379373.0747,2066743.2861
TR94,379355.6463,2066740.0165
TR95,379361.7844,2066741.5717
TR96,379371.6423,2066739.4338
TR97,379376.0918,2066738.8927
TR98,379379.0069,2066737.1827
